retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Trimestre,Ano,Ciudad
-13.979928315412186,-8.130465949820788,-14.85304659498208,-17.247311827956988,-4.172759856630825,4.091756272401434,1,2020,Ibague
-66.52114695340502,-45.64372759856631,-52.35770609318996,-86.39390681003584,-49.77455197132616,24.92508960573477,2,2020,Ibague
-41.893189964157706,-25.259498207885304,-25.19426523297491,-64.51218637992831,-28.33082437275986,15.971326164874553,3,2020,Ibague
-27.0168458781362,-6.016129032258064,-17.209677419354836,-28.691756272401435,-19.57025089605735,10.59426523297491,4,2020,Ibague
-30.125960061443934,-11.825268817204302,-22.696236559139788,-33.69431643625192,-21.283026113671276,9.381336405529954,1,2021,Ibague
-14.865591397849464,1.42258064516129,-3.940860215053764,-36.16200716845878,-13.489964157706092,8.259498207885304,2,2021,Ibague
3.314336917562724,10.638709677419355,14.99820788530466,-8.12437275985663,-2.454480286738351,4.620071684587814,3,2021,Ibague
25.170250896057343,28.122580645161293,28.250179211469533,10.807885304659498,4.886738351254481,1.68494623655914,4,2021,Ibague
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Manizales
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Manizales
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Manizales
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Manizales
-16.020071684587815,-13.14121863799283,-16.09605734767025,-16.0078853046595,-6.530465949820788,4.6107526881720435,1,2020,Manizales
-69.4594982078853,-50.265591397849455,-61.131541218638,-84.14623655913978,-49.541218637992834,26.10035842293907,2,2020,Manizales
-49.58781362007168,-27.729749103942652,-38.6752688172043,-57.95376344086022,-31.28494623655914,16.9405017921147,3,2020,Manizales
-39.869534050179205,-7.422580645161292,-28.637992831541215,-30.75340501792115,-24.12293906810036,11.87741935483871,4,2020,Manizales
-38.86175115207374,-11.318356374807989,-28.359447004608295,-26.680107526881716,-23.501920122887867,9.637864823348695,1,2021,Manizales
-30.05340501792115,-18.265591397849462,-22.79068100358423,-28.464516129032262,-25.27956989247312,11.962007168458781,2,2021,Manizales
-7.337275985663083,-2.095340501792115,-2.0810035842293906,1.746594982078853,-10.0168458781362,5.811111111111111,3,2021,Manizales
6.371684587813621,6.886021505376344,6.654480286738351,28.245161290322585,-3.82078853046595,2.8770609318996416,4,2021,Manizales
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Medellin
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Medellin
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Medellin
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Medellin
-12.489605734767025,-8.493906810035842,-11.392831541218639,-9.280286738351254,-5.809318996415771,4.227240143369175,1,2020,Medellin
