DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05021,Alejandría,2027,Centros Poblados y Rural Disperso,2051
05,Antioquia,05021,Alejandría,2027,Total,5133
05,Antioquia,05021,Alejandría,2028,Cabecera Municipal,3128
05,Antioquia,05021,Alejandría,2028,Centros Poblados y Rural Disperso,2067
05,Antioquia,05021,Alejandría,2028,Total,5195
05,Antioquia,05021,Alejandría,2029,Cabecera Municipal,3163
05,Antioquia,05021,Alejandría,2029,Centros Poblados y Rural Disperso,2094
05,Antioquia,05021,Alejandría,2029,Total,5257
05,Antioquia,05021,Alejandría,2030,Cabecera Municipal,3188
05,Antioquia,05021,Alejandría,2030,Centros Poblados y Rural Disperso,2110
05,Antioquia,05021,Alejandría,2030,Total,5298
05,Antioquia,05021,Alejandría,2031,Cabecera Municipal,3231
05,Antioquia,05021,Alejandría,2031,Centros Poblados y Rural Disperso,2130
05,Antioquia,05021,Alejandría,2031,Total,5361
05,Antioquia,05021,Alejandría,2032,Cabecera Municipal,3256
05,Antioquia,05021,Alejandría,2032,Centros Poblados y Rural Disperso,2151
05,Antioquia,05021,Alejandría,2032,Total,5407
05,Antioquia,05021,Alejandría,2033,Cabecera Municipal,3282
05,Antioquia,05021,Alejandría,2033,Centros Poblados y Rural Disperso,2174
05,Antioquia,05021,Alejandría,2033,Total,5456
05,Antioquia,05021,Alejandría,2034,Cabecera Municipal,3318
05,Antioquia,05021,Alejandría,2034,Centros Poblados y Rural Disperso,2199
05,Antioquia,05021,Alejandría,2034,Total,5517
05,Antioquia,05021,Alejandría,2035,Cabecera Municipal,3337
05,Antioquia,05021,Alejandría,2035,Centros Poblados y Rural Disperso,2228
05,Antioquia,05021,Alejandría,2035,Total,5565
05,Antioquia,05030,Amagá,2018,Cabecera Municipal,14184
05,Antioquia,05030,Amagá,2018,Centros Poblados y Rural Disperso,16043
05,Antioquia,05030,Amagá,2018,Total,30227
05,Antioquia,05030,Amagá,2019,Cabecera Municipal,14732
05,Antioquia,05030,Amagá,2019,Centros Poblados y Rural Disperso,16045
05,Antioquia,05030,Amagá,2019,Total,30777
05,Antioquia,05030,Amagá,2020,Cabecera Municipal,15246
05,Antioquia,05030,Amagá,2020,Centros Poblados y Rural Disperso,16037
05,Antioquia,05030,Amagá,2020,Total,31283
05,Antioquia,05030,Amagá,2021,Cabecera Municipal,15912
05,Antioquia,05030,Amagá,2021,Centros Poblados y Rural Disperso,15856
05,Antioquia,05030,Amagá,2021,Total,31768
05,Antioquia,05030,Amagá,2022,Cabecera Municipal,16452
05,Antioquia,05030,Amagá,2022,Centros Poblados y Rural Disperso,15807
05,Antioquia,05030,Amagá,2022,Total,32259
05,Antioquia,05030,Amagá,2023,Cabecera Municipal,16957
05,Antioquia,05030,Amagá,2023,Centros Poblados y Rural Disperso,15805
05,Antioquia,05030,Amagá,2023,Total,32762
05,Antioquia,05030,Amagá,2024,Cabecera Municipal,17286
05,Antioquia,05030,Amagá,2024,Centros Poblados y Rural Disperso,15827
05,Antioquia,05030,Amagá,2024,Total,33113
05,Antioquia,05030,Amagá,2025,Cabecera Municipal,17581
05,Antioquia,05030,Amagá,2025,Centros Poblados y Rural Disperso,15862
05,Antioquia,05030,Amagá,2025,Total,33443
05,Antioquia,05030,Amagá,2026,Cabecera Municipal,17852
05,Antioquia,05030,Amagá,2026,Centros Poblados y Rural Disperso,15917
05,Antioquia,05030,Amagá,2026,Total,33769
05,Antioquia,05030,Amagá,2027,Cabecera Municipal,18111
05,Antioquia,05030,Amagá,2027,Centros Poblados y Rural Disperso,16008
05,Antioquia,05030,Amagá,2027,Total,34119
05,Antioquia,05030,Amagá,2028,Cabecera Municipal,18343
05,Antioquia,05030,Amagá,2028,Centros Poblados y Rural Disperso,16121
05,Antioquia,05030,Amagá,2028,Total,34464
05,Antioquia,05030,Amagá,2029,Cabecera Municipal,18573
05,Antioquia,05030,Amagá,2029,Centros Poblados y Rural Disperso,16250
05,Antioquia,05030,Amagá,2029,Total,34823
05,Antioquia,05030,Amagá,2030,Cabecera Municipal,18762
05,Antioquia,05030,Amagá,2030,Centros Poblados y Rural Disperso,16416
05,Antioquia,05030,Amagá,2030,Total,35178
05,Antioquia,05030,Amagá,2031,Cabecera Municipal,18949
05,Antioquia,05030,Amagá,2031,Centros Poblados y Rural Disperso,16608
05,Antioquia,05030,Amagá,2031,Total,35557
05,Antioquia,05030,Amagá,2032,Cabecera Municipal,19110
05,Antioquia,05030,Amagá,2032,Centros Poblados y Rural Disperso,16797
05,Antioquia,05030,Amagá,2032,Total,35907
05,Antioquia,05030,Amagá,2033,Cabecera Municipal,19268
05,Antioquia,05030,Amagá,2033,Centros Poblados y Rural Disperso,16974
05,Antioquia,05030,Amagá,2033,Total,36242
05,Antioquia,05030,Amagá,2034,Cabecera Municipal,19440
05,Antioquia,05030,Amagá,2034,Centros Poblados y Rural Disperso,17140
05,Antioquia,05030,Amagá,2034,Total,36580
05,Antioquia,05030,Amagá,2035,Cabecera Municipal,19599
05,Antioquia,05030,Amagá,2035,Centros Poblados y Rural Disperso,17304
05,Antioquia,05030,Amagá,2035,Total,36903
05,Antioquia,05031,Amalfi,2018,Cabecera Municipal,14508
05,Antioquia,05031,Amalfi,2018,Centros Poblados y Rural Disperso,11454
05,Antioquia,05031,Amalfi,2018,Total,25962
05,Antioquia,05031,Amalfi,2019,Cabecera Municipal,15071
05,Antioquia,05031,Amalfi,2019,Centros Poblados y Rural Disperso,11481
05,Antioquia,05031,Amalfi,2019,Total,26552
05,Antioquia,05031,Amalfi,2020,Cabecera Municipal,15599
05,Antioquia,05031,Amalfi,2020,Centros Poblados y Rural Disperso,11472
05,Antioquia,05031,Amalfi,2020,Total,27071
05,Antioquia,05031,Amalfi,2021,Cabecera Municipal,16154
05,Antioquia,05031,Amalfi,2021,Centros Poblados y Rural Disperso,11342
05,Antioquia,05031,Amalfi,2021,Total,27496
05,Antioquia,05031,Amalfi,2022,Cabecera Municipal,16614
05,Antioquia,05031,Amalfi,2022,Centros Poblados y Rural Disperso,11307
05,Antioquia,05031,Amalfi,2022,Total,27921
05,Antioquia,05031,Amalfi,2023,Cabecera Municipal,17051
05,Antioquia,05031,Amalfi,2023,Centros Poblados y Rural Disperso,11306
05,Antioquia,05031,Amalfi,2023,Total,28357
05,Antioquia,05031,Amalfi,2024,Cabecera Municipal,17377
05,Antioquia,05031,Amalfi,2024,Centros Poblados y Rural Disperso,11314
05,Antioquia,05031,Amalfi,2024,Total,28691
05,Antioquia,05031,Amalfi,2025,Cabecera Municipal,17676
05,Antioquia,05031,Amalfi,2025,Centros Poblados y Rural Disperso,11347
05,Antioquia,05031,Amalfi,2025,Total,29023
05,Antioquia,05031,Amalfi,2026,Cabecera Municipal,17956
05,Antioquia,05031,Amalfi,2026,Centros Poblados y Rural Disperso,11386
05,Antioquia,05031,Amalfi,2026,Total,29342
05,Antioquia,05031,Amalfi,2027,Cabecera Municipal,18212
05,Antioquia,05031,Amalfi,2027,Centros Poblados y Rural Disperso,11447
05,Antioquia,05031,Amalfi,2027,Total,29659
05,Antioquia,05031,Amalfi,2028,Cabecera Municipal,18455
05,Antioquia,05031,Amalfi,2028,Centros Poblados y Rural Disperso,11527
05,Antioquia,05031,Amalfi,2028,Total,29982
05,Antioquia,05031,Amalfi,2029,Cabecera Municipal,18656
05,Antioquia,05031,Amalfi,2029,Centros Poblados y Rural Disperso,11629
05,Antioquia,05031,Amalfi,2029,Total,30285
05,Antioquia,05031,Amalfi,2030,Cabecera Municipal,18865
05,Antioquia,05031,Amalfi,2030,Centros Poblados y Rural Disperso,11754
05,Antioquia,05031,Amalfi,2030,Total,30619
05,Antioquia,05031,Amalfi,2031,Cabecera Municipal,19033
05,Antioquia,05031,Amalfi,2031,Centros Poblados y Rural Disperso,11884
05,Antioquia,05031,Amalfi,2031,Total,30917
05,Antioquia,05031,Amalfi,2032,Cabecera Municipal,19211
05,Antioquia,05031,Amalfi,2032,Centros Poblados y Rural Disperso,11995
05,Antioquia,05031,Amalfi,2032,Total,31206
05,Antioquia,05031,Amalfi,2033,Cabecera Municipal,19395
05,Antioquia,05031,Amalfi,2033,Centros Poblados y Rural Disperso,12131
05,Antioquia,05031,Amalfi,2033,Total,31526
05,Antioquia,05031,Amalfi,2034,Cabecera Municipal,19551
05,Antioquia,05031,Amalfi,2034,Centros Poblados y Rural Disperso,12240
05,Antioquia,05031,Amalfi,2034,Total,31791
05,Antioquia,05031,Amalfi,2035,Cabecera Municipal,19704
05,Antioquia,05031,Amalfi,2035,Centros Poblados y Rural Disperso,12373
05,Antioquia,05031,Amalfi,2035,Total,32077
05,Antioquia,05034,Andes,2018,Cabecera Municipal,20250
05,Antioquia,05034,Andes,2018,Centros Poblados y Rural Disperso,23019
05,Antioquia,05034,Andes,2018,Total,43269
05,Antioquia,05034,Andes,2019,Cabecera Municipal,20851
05,Antioquia,05034,Andes,2019,Centros Poblados y Rural Disperso,22862
05,Antioquia,05034,Andes,2019,Total,43713
05,Antioquia,05034,Andes,2020,Cabecera Municipal,21456
05,Antioquia,05034,Andes,2020,Centros Poblados y Rural Disperso,22743
05,Antioquia,05034,Andes,2020,Total,44199
05,Antioquia,05034,Andes,2021,Cabecera Municipal,22399
05,Antioquia,05034,Andes,2021,Centros Poblados y Rural Disperso,22486
05,Antioquia,05034,Andes,2021,Total,44885
