Vulnerabilidad_numero,U_MPIO,U_DPTO,Nom_DPTO,CASA,APTO,TIP_CUARTO,VIV_TRAD_INDIG,VIV_TRAD_ETNICA,OTRA_VIV,1-DOR,2-DOR,3-DOR,4-DOR,Mas de 4 dor,No informa Num_dormit,0-FALL,1-FALL,2-FALL,Mas de 2 fall,1-PER,2-PER,3-PER,4-PER,Mas de 4 per,Fall_Hombre,Fall_Mujer,No informa sexo fall,No informa edad fall,Fall_P_Infancia,Fall_Infancia,Fall_Juv-Adoles,Fall_Adultez,Fall_Per_Mayor,Per_Hombre,Per_Mujer,Per_edad_0 a 4,Per_edad_5 a 9,Per_edad_10 a 14,Per_edad_15 a 19,Per_edad_20 a 24,Per_edad_25 a 29,Per_edad_30 a 34,Per_edad_35 a 39,Per_edad_40 a 44,Per_edad_45 a 49,Per_edad_50 a 54,Per_edad_55 a 59,Per_edad_Mas de 60,Indigena,Gitano o Rrom,Raizal del Archi SAPSC,Palenquero de San Basilio,"Negro, mulato, afrodescendiente, afrocolombiano",Ningun grupo etnico,No informa grupo etnico,Habla lengua Nativa,No habla lengua nativa,No informa lengua nativa,No aplica lengua nativa,Habla otra lengua,No habla otra lengua,No informa otra lengua,No aplica otra lengua,CSS muy bueno,CSS bueno,CSS malo,CSS muy malo,CSS No Aplica,Lee_y_Escribe,NoLee_y_Escribe,No_informa_Alfabeta,No Aplica P_ALFABETA,Preescolar,Primaria,Secundaria,Media_Academica,Media_tecnica,Normalista,Tecnica_Profesional,Universitario,Posgrado,Ninguno,No_inf_escolaridad,No Aplica P_NIVEL_ANOSR,No informa ingresos,Recibe ingresos,No recibe ingresos,No Aplica ingresos
1.0,483,41,Huila,2150,55,72,92,1,7,794,750,307,86,21,12,1928,41,0,1,359,436,412,385,378,30.0,14.0,0.0,0.0,2.0,0.0,2.0,10.0,30.0,3176,2992,621,598,628,609,537,459,411,382,359,290,284,237,753,529,0,0,0,21,5572,46,443,86,0,5639,1,528,0,5639,28,479,100,26,5535,4952,547,48,621,247,2589,1033,846,122,13,172,128,35,284,78,621,66,2303,2569,1230
1.0,503,41,Huila,3629,82,32,1,1,2,943,1290,660,152,16,3,3007,56,1,0,407,512,655,627,863,33.0,25.0,0.0,0.0,4.0,0.0,5.0,16.0,33.0,5674,5437,1101,1206,1276,1297,979,798,701,747,623,543,481,375,984,2,1,1,0,24,11056,27,1,3,0,11107,0,4,0,11107,60,828,144,23,10056,9082,885,43,1101,384,5115,1908,1574,33,8,232,229,62,409,56,1101,70,2492,6242,2307
1.0,518,41,Huila,2252,99,52,1,0,5,594,868,419,87,20,6,1960,34,0,0,364,359,469,383,419,22.0,12.0,0.0,0.0,2.0,0.0,0.0,7.0,25.0,3294,3130,528,518,644,655,581,411,418,444,375,414,318,328,790,20,0,0,1,61,6266,76,9,12,0,6403,1,20,0,6403,23,374,119,55,5853,5433,415,48,528,153,2546,1148,1165,50,12,220,202,56,261,83,528,59,2069,3229,1067
1.0,524,41,Huila,9562,674,226,17,4,18,2478,3287,1830,280,46,28,7819,124,5,1,1302,1770,2038,1636,1203,82.0,55.0,0.0,0.0,2.0,1.0,9.0,38.0,87.0,12353,11890,1889,1879,2091,2175,2092,1924,1690,1618,1375,1500,1533,1277,3200,90,0,0,3,67,23979,104,31,61,1,24150,2,90,1,24150,288,969,249,82,22655,20494,1721,139,1889,606,8667,3998,4838,247,47,849,1371,278,1230,223,1889,297,8683,11398,3865
1.0,530,41,Huila,3119,81,150,7,0,8,904,1225,691,127,35,10,2917,72,3,0,404,489,656,699,744,45.0,33.0,0.0,0.0,13.0,2.0,9.0,20.0,34.0,5445,5009,921,1002,1072,1014,912,887,768,759,591,528,524,442,1034,346,0,0,0,64,9976,68,93,253,0,10108,0,345,1,10108,41,888,286,69,9170,8723,766,44,921,346,4802,1732,1568,91,15,236,177,27,460,79,921,68,3204,5259,1923
1.0,548,41,Huila,4472,163,110,3,4,11,776,1362,1145,324,71,24,3636,63,3,0,634,698,836,697,837,46.0,23.0,0.0,0.0,13.0,1.0,7.0,13.0,35.0,6225,6021,1207,1196,1244,1239,1000,921,798,756,695,649,609,514,1418,7,0,0,0,26,12029,184,1,5,1,12239,0,6,1,12239,46,635,164,9,11392,10092,844,103,1207,317,5281,2194,1730,196,26,264,318,73,516,124,1207,164,4521,5134,2427
1.0,551,41,Huila,34415,8389,1799,17,5,98,9981,13852,9717,2059,400,162,35569,578,21,3,5800,6848,8366,7561,7596,378.0,258.0,0.0,0.0,47.0,5.0,63.0,146.0,375.0,59717,60570,9698,9972,11137,12059,11527,10217,9025,8691,7255,6643,6123,5101,12839,1368,12,2,2,1099,116573,1231,241,1118,3,118925,52,1307,3,118925,431,4832,1657,280,113087,102743,6263,1583,9698,2694,43608,20617,22918,1312,433,4714,6833,1726,4073,1661,9698,1830,43915,53590,20952
1.0,615,41,Huila,7256,884,263,25,0,23,2314,2884,1326,194,24,24,6664,99,3,0,1180,1506,1483,1382,1215,61.0,44.0,0.0,0.0,5.0,3.0,10.0,19.0,68.0,12163,10714,1623,1667,2009,2001,2125,2040,1668,1673,1361,1334,1303,1083,2990,227,0,0,1,93,22422,134,55,168,0,22654,33,190,0,22654,54,727,298,64,21734,19515,1370,369,1623,482,7740,4300,4373,228,26,937,1682,313,918,255,1623,292,7630,9855,5100
1.0,660,41,Huila,3446,82,107,0,2,5,999,1169,609,121,21,4,2884,38,1,0,435,508,607,642,731,29.0,11.0,0.0,0.0,6.0,0.0,6.0,9.0,19.0,5186,4890,966,1042,1069,1144,869,753,662,646,582,524,466,348,1005,25,0,0,0,17,10009,25,4,21,0,10051,10,15,0,10051,34,531,180,26,9305,8218,857,35,966,360,4906,1486,1356,50,10,142,203,37,516,44,966,76,3035,4946,2019
1.0,668,41,Huila,9670,689,1123,20,0,13,3997,3675,2029,589,151,36,10290,179,8,0,1832,2347,2482,2009,1807,111.0,84.0,0.0,0.0,10.0,1.0,13.0,36.0,135.0,16526,15883,2559,2552,2825,3061,2995,2683,2432,2190,2005,1856,1708,1447,4096,819,1,0,0,68,31359,162,130,690,0,31589,23,797,0,31589,170,3421,781,84,27953,27394,2290,166,2559,778,14371,4733,6113,252,59,672,1035,217,1404,216,2559,279,12063,14927,5140
